stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Desktop\助教工作\程設一\final_project\YCY_template\final_project_bundle\tutorial\bin\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.11402] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.11402] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11403] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.11404] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11405] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.11406] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11407] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.11408] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11409] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.11409] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11410] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.11411] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11412] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.11413] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11414] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.11415] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11416] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.11416] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11417] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.11418] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11419] Score is : 593
